"FOODID","FOODNAME","CALORIES","CARBS","PROTEIN","FAT"
"31987","BERRY PIE, BASIC SWEET DOUGH, GLUTEN-FREE, CONTAINS WHEAT STARCH AND MILK","237.09","43.2","3.2","5"
"31988","BERRY PIE, BASIC SWEET DOUGH, NATURALLY GLUTEN-FREE, CONTAINS MILK","221.8","37.4","3.2","5.2"
"31989","APPLE PIE, SHORTBREAD CRUST, GLUTEN-FREE, CONTAINS WHEAT STARCH","226.34","33.2","1.9","9"
"31990","ICE CREAM, CREAM BASED, FLAVOURED, CARTE D'OR MASCARPONE","203.63","28.2","3","8.5"
"31991","SORBET, RASPBERRY, INDUSTRIAL","129.3","28.7","0.8","0.4"
"31992","CHICKEN MEATBALL, SAARIOINEN","186.19","10.8","14.1","9.5"
"31993","CHICKEN MEATBALL, KARINIEMEN","230.4","12.3","13.5","14.1"
"31994","SOY MILK FROZEN DESSERT, ICE CREAM CORNET, GLUTEN-FREE","263.62","37.8","2.8","11"
"31995","CHICKEN MEATBALL, PIRKKA","228.25","11.4","14.5","13.8"
"31996","RICE ICE CREAM","210.33","33.5","0.8","8"
"31997","ICE CREAM, YOGHURT BASED, 4% FAT","168.98","30.2","2.7","3.8"
"32000","ICE CREAM BAR, CREAM BASED, CARAMEL AND CHOCOLATE TOPPING","298.28","28.3","4.7","18.5"
"32001","ICE CREAM, CREAM BASED, FLAVOURED, AINO CARAMEL","231.36","31.3","3","10.3"
"32002","QUARK, FLAVOURED, 2.9% FAT","111.85","14","6.5","2.9"
"32004","SOY PRODUCT, NON-DAIRY CREAM SUBSTITUTE,5.2% FAT","67.64","3.5","1.4","5.2"
"32005","OAT PRODUCT, NON-DAIRY SUBSTITUTE FOR CREAM, 7% FAT","93.69","6","1.4","7"
"32006","RICE PRODUCT, NON-DAIRY CREAM SUBSTITUTE, VEGETABLE FAT, 7% FAT","162.76","22.7","1.8","7"
"32007","RICE DRINK, CALCIUM, VITAMIN D","55.93","9.3","1","1.4"
"32008","SOYA DRINK, LIGHT, CALCIUM, VITAMINS, ALPRO","27.96","2.2","1.8","1.2"
"32009","MEAT AND POTATO CASSEROLE, SAARIOINEN, READY MEAL","83.89","10.9","4.1","2.4"
"32010","ICE CREAM WITH BISCUIT AND CHOCOLATE, CREAM BASED","251.67","27.8","2.2","14.6"
"32012","BLOOD PANCAKE, PIRKKA","175.19","20.4","9.1","5.7"
"32013","OAT PORRIDGE, OAT FLAKES, APPLE AND CINNAMON, ELOVENA","78.39","13.8","2.1","1.1"
"32015","OAT PORRIDGE, OAT FLAKES, FRUIT AND BERRIES, ELOVENA","77.92","13.8","2.1","1.1"
"32016","LASAGNE, BEEF MINCE (17%), MEAL MIXTURE","152.25","11.7","9.4","7.3"
"32018","LASAGNE, PORK-BEEF MINCE, MEAL MIXTURE","164.91","11.7","8.8","9"
"32019","LASAGNE, LEAN STEAK MINCE (7%), MEAL MIXTURE","121.65","11.7","9.3","3.8"
"32020","LASAGNE, CHICKEN MINCE, MEAL MIXTURE","114.24","11.9","9.6","2.8"
"32022","LASAGNE, BEEF MINCE (17%), WHOLE WHEAT PASTA, MEAL MIXTURE","154.16","11.7","9.4","7.4"
"32023","PASTA CARBONARA, M�LTID BLANDNING, KOKT","90.34","13.2","2.9","2.7"
"32024","PASTA WITH MUSHROOM GRAVY, PASTA DINNER MIX, COOKED","88.43","12.5","3","2.7"
"32025","PASTA WITH CHEESE SAUCE, PASTA DINNER MIX, COOKED","99.67","14.7","3.1","2.9"
"32028","LASAGNE, PORK MINCE, MEAL MIXTURE","147.71","11.7","9.3","6.8"
"32031","PASTA WITH TOMATO SAUCE, PASTA DINNER MIX, COOKED","83.17","14.5","2.4","1.5"
"32035","MEAL MIXTURE, BEEF AND RICE, COOKED","126.67","8.8","7.6","6.7"
"32037","MACARONI AND CHICKEN MINCE CASSEROLE, WHOLE WHEAT MACARONI AND LOW-FAT MILK","106.12","7.7","9.3","4"
"32038","MACARONI AND PORK MINCE CASSEROLE, LOW-FAT MILK, WHOLE WHEAT MACARONI","109.7","8.5","7.3","5"
"32039","MEAL MIXTURE, PORK AND RICE, COOKED","118.55","9","7.8","5.6"
"32040","MEAL MIXTURE, CHICKEN AND RICE, COOKED","85.33","8.8","8.9","1.4"
"32041","MEAL MIXTURE, SOYA AND RICE, COOKED","87.48","11.1","7.2","1"
"32042","MEAL MIXTURE, BEEF AND PASTA, COOKED","132.41","6.9","9.1","7.4"
"32043","MEAL MIXTURE, PORK AND PASTA, COOKED","123.33","7.1","9.3","6.2"
"32045","MEAL MIXTURE, CHICKEN AND PASTA, COOKED","85.8","6.9","10.5","1.5"
"32046","MEAL MIXTURE, SOYA AND PASTA, COOKED","88.19","9.6","8.5","1"
"32047","ITALIAN STEW WITH PORK BEEF MINCE","139.58","9.7","7.3","7.8"
"32049","ITALIAN STEW WITH BEEF MINCE","147.23","9.7","9.4","7.8"
"32051","CHICKEN MINCE GRAVY, NO ADDED FAT","68.12","2","10.2","2"
"32052","APPLE PIE, BASIC SWEET DOUGH, GLUTEN-FREE, CONTAINS WHEAT STARCH AND MILK","240.44","44.4","3.1","5"
"32053","APPLE PIE, SHORTBREAD CRUST, NATURALLY GLUTEN-FREE","217.5","30.1","1.9","9.1"
"32054","APPLE PIE, BASIC SWEET DOUGH, NATURALLY GLUTEN-FREE, CONTAINS MILK","223.71","38.5","3.1","5.2"
"32055","BERRY PIE WITH QUARK FILLING, BASIC SWEET DOUGH, GLUTEN-FREE, WHEAT STARCH, MILK","173.76","23.8","5.8","5.6"
"32056","BERRY PIE WITH QUARK FILLING, BASIC SWEET DOUGH, NATURALLY GLUTEN-FREE, MILK","168.26","21.8","5.8","5.6"
"32057","BERRY PIE WITH QUARK FILLING, SHORTBREAD CRUST, GLUTEN-FREE, WHEAT STARCH, MILK","267.21","33","5.1","12.3"
"32058","BERRY PIE WITH QUARK FILLING, SHORTBREAD CRUST, NATURALLY GLUTEN-FREE","257.65","29.7","5.1","12.4"
"32059","BREAKFAST CEREAL, RICE, OAT AND MAIZE, RICE KRISPIES MULTIGRAIN","381.21","78.7","7.5","2.7"
"32060","BREAKFAST CEREAL, RICE-WHEAT FLAKES, KELLOGG'S SPECIAL K CLASSIC","368.07","75.8","9.3","1.5"
"32061","BREAKFAST CEREAL, RICE-WHEAT FLAKES, KELLOGG'S SPECIAL K RED BERRIES","366.63","77.6","9.4","1.1"
"32062","YOGHURT, FLAVOURED, 2% FAT, 0.5 UG VITAMIN D","79.83","11.8","3.3","2"
"32063","SALAD, BEETROOT SALAD WITH MAYONNAISE, SAARIOINEN","123.33","10.5","1.3","8.3"
"32064","BREAKFAST CEREAL, COCOA RICE KRISPIES, KELLOGG'S COCO POPS","383.13","82.6","5.3","2.6"
"32065","MUESLI, CRUNCHY, WITH APPLE AND CINNAMON, AVERAGE, PIRKKA/RAINBOW","429.97","60.4","7.8","15.5"
"32066","SALAD, BEETROOT SALAD WITH MAYONNAISE, ATRIA","130.98","6.2","1.1","11.2"
"32067","YOGHURT, FLAVOURED, FAT-FREE, ARTIFICIALLY SWEETENED, 0.5 UG VITAMIN D","44.69","7","3.5","0.1"
"32068","MUESLI, CRUNCHY, WITH YOGHURT AND STAWBERRY, PIRKKA","431.41","63","7.9","15"
"32069","SALAD, BEETROOT SALAD WITH MAYONNAISE, LIGHT, ATRIA","74.09","6.3","1.2","4.7"
"32070","BREAKFAST CEREAL, CHOCOLATE CEREAL, MULTIGRAIN, PIRKKA VIIDAKKOMURO","378.11","83.2","4.7","1.8"
"32071","MUESLI, PIRKKA KILOMYSLI, WHEAT, RAISINS, CORN, OATS AND DRIED FRUITS","336.04","64.7","8.6","2.1"
"32072","SALAD, CABBAGE, CARROT, PINEAPPLE, MAYONNAISE, AURINKOSALAATTI, HK","82.22","9","0.6","4.4"
"32073","MUESLI, CRUNCHY, WITH DRIED BERRIES, AVERAGE, PIRKKA/RAINBOW","413","59.5","9.5","13.5"
"32075","BREAKFAST CEREAL, RYE CEREAL, QUAKER FRAS","345.6","61.9","10.2","3.4"
"32076","SALAD, ITALIAN SALAD WITH MAYONNAISE, SAARIOINEN","166.83","8.1","2.7","13.6"
"32077","BREAKFAST CEREAL, CHOCOLATE CEREAL, WEETABIX MINIS","366.4","64.8","9.9","5.3"
"32078","BREAKFAST CEREAL, CHOCOLATE CEREAL, WEETOS CHOCO, WEETABIX","372.37","69.8","8.9","4.8"
"32079","SALAD, ITALIAN SALAD WITH MAYONNAISE, ATRIA","186.19","8.9","2.8","15.4"
"32080","(ARC)YOGHURT, FLAVOURED, VITALINEA, FAT-FREE, 0.75 UG VITAMIN D","40.63","6.1","3.3","0.1"
"32081","BREAKFAST CEREAL, CORN AND BUCKWHEAT, TOP FOOD SUN FLAKES","359.7","76.5","7.3","1.5"
"32082","SALAD, ITALIAN SALAD WITH MAYONNAISE, LIGHT, ATRIA","103.97","8.4","3.4","6"
"32083","(ARC)MUESLI, NESTLE FITNESS, OAT, WHOLE WHEAT, RICE FLOUR, NUTS, VITAMINS","385.99","60.8","11.6","8.6"
"32084","YOGHURT, FLAVOURED, 2% FAT, LACTOSE-FREE, 0.5 UG VITAMIN D","85.33","13","3.4","2"
"32085","YOGHURT, FLAVOURED, 2% FAT, LOW-LACTOSE, A+, 1 UG VITAMIN D","81.98","11.9","2.6","2"
"32086","MINCED MEAT SKEWER, SAARIOINEN","273.42","11.7","14.4","18.8"
"32087","BREAKFAST CEREAL, CHOCOLATE CEREAL, NESTLE NESQUIK DUO, VITAMINS","402.49","73.4","6.8","7.7"
"32088","YOGHURT, BULGARIAN, PLAIN, 3.5% FAT, 1 UG VITAMIN D","63.34","4.8","3","3.5"
"32092","MINCED MEAT HAMBURGER PATTY, HK","233.03","12.5","14.4","13.8"
"32093","BREAKFAST CEREAL, CHOCOLATE CEREAL, NESQUIK, VITAMINS","385.04","76.4","6.5","4.3"
"32094","HAMBURGER, BEEF AND WHEAT ROLL, HESBURGER","250","20","12.2","14.1"
"32095","BREAKFAST CEREAL, CHEERIOS, MAIZE, OAT, BARLEY, WHEAT, RICE, NESTLE","369.26","70.1","9","3.7"
"32096","HAMBURGER, CHEESE BURGER, HESBURGER","259.32","18.1","13.2","15.5"
"32097","HAMBURGER, CHICKEN BURGER, HESBURGER","269.6","25.2","8.6","15.4"
"32098","BREAKFAST CEREAL, RICE-WHEAT FLAKES, NESTLE FITNESS","367.59","72.2","9.4","1.8"
"32100","MINCED MEAT HAMBURGER PATTY, ATRIA","191.44","9.3","13.9","10.9"
"32101","MAYONNAISE, CUCUMBER MAYONNAISE, HESBURGER","472.99","2.8","0.6","51.8"
"32103","HAMBURGER, BEEF AND WHEAT ROLL, MCDONALD'S","234.46","25.4","13.5","9.3"
"32104","HAMBURGER, CHEESE BURGER, MCDONALD'S","247.37","22.6","14.4","11.6"
"32106","HAMBURGER, CHICKEN BURGER, MCDONALD'S","270.08","29.4","11.1","12.6"
"32107","HAMBURGER, DOUBLE BURGER, BIG MAC, MCDONALD'S","242.83","18.1","13.4","13.4"
"32108","CHICKEN NUGGETS, DEEP FRIED, CHICKEN MCNUGGETS","243.07","19.6","13.2","12.3"
"32109","HAMBURGER, ATRIA","257.65","29.9","11.7","9.7"
"32110","HOTDOG, ATRIA/PIRKKA","275.81","33.4","9.3","11.2"
"32111","HAMBURGER, SAARIOINEN","257.17","24.3","10","13"
"32112","HAMBURGER, HK","253.11","32.3","12.3","7.8"
"32114","DEEP-FRIED MEAT PASTY, SAARIOINEN","240.44","34.4","9.3","6.6"
"32115","PIZZA, SALAMI PIZZA, ATRIA/SAARIOINEN","236.38","24.4","9.3","10.9"
"32116","PIZZA, MINCED MEAT PIZZA, SAARIOINEN","249.76","28.1","9.3","10.7"
"32118","PIZZA, MINCED MEAT PIZZA, ATRIA","242.83","24.5","11.2","10.7"
"32119","PIZZA, TUNA PIZZA, SAARIOINEN","226.1","27","8.8","8.8"
"32120","PIZZA, HAM PIZZA, SAARIOINEN","223.47","27.9","6.8","9"
"32121","VEGETABLE BALL, SAARIOINEN","189.29","8.3","8.1","12.9"
"32122","PIZZA, MOZZARELLA AND TOMATO PIZZA, SAARIOINEN","240.92","29.8","7.8","9.5"
"32123","PIZZA, HAM AND PINEAPPLE PIZZA, ATRIA","205.54","26.7","7.8","7.1"
"32125","HAM AND MASHED POTATO CASSEROLE, SAARIOINEN, READY MEAL","104.45","10","4.6","4.9"
"32126","PASTA, WHOLEGRAIN RICE FLOUR, NATURALLY GLUTEN-FREE, BOILED WITHOUT SALT","108.75","21.4","2.4","0.9"
"32127","PASTA, WHOLEGRAIN RICE FLOUR, NATURALLY GLUTEN-FREE, BOILED, SALT","106.84","21","2.4","0.9"
"32128","DEEP FRIED MEAT PASTIE, PORTTI","300.19","31.8","7","15.8"
"32129","SPAGHETTI AND MINCED MEAT CASSEROLE, SAARIOINEN, READY MEAL","99.19","11.7","5.9","2.9"
"32130","VEGETABLE PATTY, SAARIOINEN","152.72","10.3","7.9","8.3"
"32132","BREAKFAST CEREAL, WHEAT, RICE, YOGHURT, NESTLE FITNESS & YOGHURT, VITAMINS","382.17","68.6","8.6","6.3"
"32135","BREAKFAST CEREAL, WHEAT, RICE, DRIED FRUITS, NESTLE FITNESS & FRUITS, VITAMINS","371.65","74","7.6","2.8"
"32136","YOGHURT, PLAIN, ACTIVIA, 3.4% FAT","72.18","5.7","4.5","3.4"
"32138","CHICKEN AND POTATO CASSEROLE, PIRKKA, READY MEAL","81.74","8.6","4.4","3.1"
"32140","WHOLE GRAIN BREAKFAST CEREAL WITH OATS, BARLEY AND RYE","345.6","54.3","12.3","4"
"32142","(ARC)YOGHURT WITH JAM, FAT 2%, LOW-LACTOSE, 1 UG VITAMIN D","81.98","13","2.4","2"
"32144","THIN CARROT PANCAKE, CARROT CREPES, INDUSTRIAL","160.61","21.8","4.9","5.5"
"32145","YOGHURT, FLAVOURED, A+, FAT-FREE, LOW-LACTOSE, 1 UG VITAMIN D","66.68","13.3","2.7","0.1"
"32146","ONION, BOILED WITHOUT SALT","34.89","5.7","1.5","0.1"
"32147","PEAS, BOILED WITHOUT SALT","85.33","10.8","6.4","0.9"
"32148","CHICKEN GRAVY","90.82","2.1","11.5","4"
"32149","ZUCCHINI, BOILED WITHOUT SALT","21.99","3","0.8","0.5"
"32150","FRUIT PUREE, HOME-MADE BABYFOOD","39.67","7.8","0.7","0.1"
"32151","CHICKEN VEGETABLE GRAVY","81.74","3","9.6","3.3"
"32152","FROZEN VEGETABLE MIX, GRILLED VEGETABLES, SALT, OIL","48.76","3.1","0.7","3.3"
"32153","BEARNAISE SAUCE MIX, KNORR","472.99","55.7","10","23.2"
"32154","CHICKEN STROGANOFF","78.63","3.8","8.8","2.9"
"32155","FROZEN VEGETABLE MIX, CARROT-BEAN, AURINKOKASVIKSET","34.18","5.2","1.3","0.2"
"32156","FROZEN VEGETABLE MIX, PEA-SWEET CORN-CARROT","80.78","13.5","3.1","0.8"
"32157","FROZEN VEGETABLE MIX, BROCCOLI-CARROT-SWEET PEPPER, KARTANON KASVIKSET","32.03","3.8","1.8","0.4"
"32158","FROZEN VEGETABLE MIX, ROOT VEGETABLES","37.28","6","1","0.2"
"32159","FROZEN VEGETABLE MIX, BROCCOLI-CARROT-CAULIFLOWER, KRUUNUSEKOITUS","30.59","3.2","2.2","0.3"
"32160","FRUITY CHICKEN GRAVY","75.53","3.9","8.2","2.8"
"32161","FROZEN VEGETABLE MIX, CARROT-PARSNIP-BEAN, MAALAISKASVIKSET","41.11","6.5","1.1","0.3"
"32162","FROZEN VEGETABLE MIX, BROCCOLI-CARROT-WATER CHESTNUT","49.47","8.4","1.6","0.3"
"32163","BEARNAISE SAUCE MIX, CAMPBELL'S/BL� BAND","458.89","52.2","3.4","26.1"
"32164","CHICKEN FILLET AND RICE, OVEN-BAKED","103.01","10.2","9.8","2.3"
"32165","FROZEN VEGETABLE MIX, ROOT VEGETABLES, CARROT-SWEDE-ONION","32.5","5.5","0.9","0.2"
"32166","FROZEN VEGETABLE MIX, POTATO AND VEGETABLES","61.9","12.2","1.7","0.1"
"32167","FROZEN VEGETABLE MIX, TOMATO AND VEGETABLES, POMODORO","24.86","3.8","0.8","0.3"
"32168","BEARNAISE SAUCE MADE OF BEARNAISE SAUCE MIX, AVERAGE","176.86","8.5","1.1","15.6"
"32169","MACARONI AND CHICKEN CASSEROLE, COOKING CREAM (VEG. FAT)","165.15","8.8","12.1","8.9"
"32170","FROZEN VEGETABLE MIX, BROCCOLI-SWEET CORN-CARROT","58.8","9.6","2","0.6"
"32171","FROZEN VEGETABLE MIX, CARROT-BEAN-PEA-CAULIFLOWER","42.07","5.5","2.6","0.4"
"32172","SOY PRODUCT, ALPRO, SOURED, 2% FAT, CALCIUM, VITAMINS","82.46","11.6","3.6","2"
"32173","FROZEN VEGETABLE MIX, AVERAGE, BOILED WITHOUT SALT","65.97","10.6","2.5","0.6"
"32174","CHICKEN STEW, VEGETABLES AND PINEAPPLE","92.97","4.8","9.5","3.7"
"32175","HOLLANDAISE SAUCE MIX","528.44","42.9","5.3","37.6"
"32176","HOLLANDAISE SAUCE MADE OF HOLLANDAISE SAUCE MIX","153.68","6","0.8","14.2"
"32177","SALAD DRESSING, RAPESEED OIL, 15% FAT, LIGHT, THOUSAND ISLAND, FELIX","187.38","11.4","1","15.3"
"32178","SALAD DRESSING, FRENCH DRESSING, RAPESEED OIL, 47% FAT, SAARIOINEN","447.9","6.9","0.2","47"
"32179","SALAD DRESSING, RAPESEED OIL, 23% FAT, LIGHT, KARTANON, SAARIOINEN","274.62","15.4","1.1","23.1"
"32181","VEGETABLE PUREE, HOME-MADE BABYFOOD, WITHOUT SALT","21.51","2.2","1.5","0.2"
"32182","BILBERRY OR BLUEBERRY, DRIED, BILBERRY POWDER","302.82","25.1","7.6","6.9"
"32186","FROZEN VEGETABLE MIX, CARROT-BROCCOLI-BEAN-SWEET PEPPER-SWEET CORN, AMERIKAN","53.3","8.4","2.1","0.6"
"32189","CURD MILK, FLAVOURED, 2% FAT, 1 UG VITAMIN D","69.79","9.9","2.6","2.2"
"32191","FRANKFURTER, CHICKEN, 15% FAT","195.98","1","13.7","15.2"
"32193","SOY PRODUCT, SOURED, 2% FAT, CALCIUM","78.87","11.6","2.7","2"
"32194","MOZZARELLA CHEDDAR STICKS","366.16","23.7","16.6","22.4"
"32195","FRANKFURTER, CHICKEN, LIGHT, 5% FAT","103.97","2.1","12.2","5.2"
"32196","ONION RING, BREADED, DEEP-FRIED","241.16","26.1","4.1","12.9"
"32197","FRANKFURTER, TURKEY, LIGHT, ATRIA","104.45","1.3","13.2","5"
"32198","CHICKEN COLD CUTS, 2.2% FAT","107.79","0.2","21.5","2.2"
"32199","CHICKEN SOUP","43.74","3.4","5","0.9"
"32201","YOGHURT, TURKISH/GREEK, 10% FAT","123.09","4.3","4","10"
"32202","SHRIMP, BOILED, WITHOUT SALT","73.14","0","16","0.9"
"32203","SALMON, BOILED, WITHOUT SALT","222.04","0","21.2","15.3"
"32204","RAINBOW TROUT, BOILED, WITHOUT SALT","173.52","0","19","10.9"
"32205","SALMON/RAINBOW TROUT, BOILED, WITHOUT SALT","224.67","0","22.9","14.9"
"32206","SALMON VEGETABLE CASSEROLE, PROCESSED CHEESE, MILK","143.16","2.8","11.3","9.6"
"32208","MACARONI AND SALMON CASSEROLE, LOW-FAT MILK","128.11","8","9.5","6.4"
"32209","MACARONI AND SAITHE CASSEROLE, LOW-FAT MILK","95.84","8","9.2","2.8"
"32211","SALMON AND POTATO CASSEROLE, LOW-FAT MILK","113.05","7.8","8","5.3"
"32212","SAITHE AND POTATO CASSEROLE, LOW-FAT MILK","80.78","7.8","7.7","1.8"
"32214","SALMON SPINACH CASSEROLE, LOW-FAT MILK","155.83","3.2","11.6","10.7"
"32217","FISH FINGERS, OVEN-BAKED, INDUSTRIAL","198.85","17.2","13.5","8.2"
"32218","FISH FINGERS, SALMON, FINDUS, OVEN-BAKED","232.79","20.4","14.4","10.1"
"32224","SALMON AND RICE CASSEROLE","133.6","8.8","9.4","6.7"
"32225","SAITHE AND RICE CASSEROLE","96.56","8.8","9","2.6"
"32228","PERCH LOAF, FISH IN RYE CRUST","219.41","22.1","12","8.5"
"32229","PERCH, FRIED","143.4","0","20.5","6.8"
"32230","PERCH, FRIED IN BUTTER","142.21","0.1","19.1","7.3"
"32231","PIKE, FRIED IN BUTTER","147.94","0.1","20.3","7.4"
"32232","FISH, AVERAGE, FRIED IN BUTTER","163.96","0.1","19.6","9.5"
"32233","BOLOGNESE, BEEF STEAK MINCE, THICKENED","104.45","4.1","11","4.5"
"32234","BOLOGNESE, BEEF STEAK MINCE","107.31","2.3","12.2","5.1"
"32236","BOLOGNESE, BEEF MINCE","144.36","2.3","11.2","9.7"
"32237","RAINBOW TROUT, FRIED","240.2","0","19","18.4"
"32238","RAINBOW TROUT FILLET, COOKING CREAM (VEG. FAT), OVEN-BAKED","188.58","0.3","18.7","12.6"
"32239","BOLOGNESE, BEEF MINCE, THICKENED","135.76","4","10.1","8.5"
"32240","RAINBOW TROUT FILLET WITH CREAM, OVEN-BAKED","195.98","0.6","18.8","13.1"
"32241","BOLOGNESE, PORK BEEF MINCE, THICKENED","160.13","4.2","9.7","11.4"
"32242","BOLOGNESE, PORK BEEF MINCE","171.13","2.4","10.7","13"
"32243","BOLOGNESE, LEAN STEAK MINCE 7%","93.69","2.3","11.1","4.1"
"32244","BOLOGNESE, LEAN STEAK MINCE 7%, THICKENED","91.54","4","9.9","3.6"
"32245","LEAN STEAK MINCE GRAVY, NO ADDED FAT","83.65","2.1","10.3","3.7"
"32248","SAITHE, FRIED","149.14","0","18.8","8.2"
"32249","POWAN, FRIED IN BUTTER","170.89","0.1","21.6","9.4"
"32250","POWAN, FRIED","165.15","0","22","8.6"
"32251","BALTIC HERRING FILLET WITH CREAM, OVEN-BAKED","196.22","1","16.4","13.9"
"32256","SALAD, BEETROOT SALAD WITH MAYONNAISE, AVERAGE OF INDUSTRIAL PRODUCTS","114.48","8.2","1.3","8.4"
"32257","CHICKEN COLD CUTS, 2% FAT","86.76","3.2","13.8","2"
"32274","CAKE, MOCHA CAKE","381.45","55.4","5.2","15"
"32278","JAM PIE, BASIC SWEET DOUGH, WHOLE MILK","309.51","53.5","8","6.2"
"32279","JAM PIE, SHORTBREAD CRUST WITH SOUR MILK","348.23","53.6","4.4","12.4"
"32280","BERRY PIE, BASIC SWEET DOUGH, WATER","221.8","38.9","5.2","3.9"
"32282","JAM PIE, BASIC SWEET DOUGH, FAT-FREE MILK, SWEETENED WITH FRUCTOSE","243.31","42.1","5.2","5.2"
"32283","JAM PIE, BASIC SWEET DOUGH, WHOLE MILK, SWEETENED WITH FRUCTOSE","248.57","42.1","5.2","5.8"
"32284","JAM PIE, BASIC SWEET DOUGH, LOW-FAT MILK, SWEETENED WITH FRUCTOSE","245.46","42.1","5.2","5.5"
"32301","MARGARINE 60%, FLORA, NORMALLY SALTED","531.31","0.3","0.1","59.9"
"32308","MARGARINE 60%, FLORA, LACTOSE-FREE","530.59","0","0","60"
"32316","BERRY PIE, BASIC SWEET DOUGH, FAT-FREE MILK, WITHOUT SUGAR","207.46","30.8","6","5.6"
"32318","BERRY PIE, BASIC SWEET DOUGH, LOW-FAT MILK, WITHOUT SUGAR","209.61","30.7","6","5.9"
"32319","BERRY PIE, BASIC SWEET DOUGH, WHOLE MILK, WITHOUT SUGAR","213.19","30.7","6","6.3"
"32320","BERRY PIE, BASIC SWEET DOUGH, FAT-FREE MILK, SWEETENED WITH FRUCTOSE","221.08","34.7","5.6","5.5"
"32321","BERRY PIE, BASIC SWEET DOUGH, LOW-FAT MILK, SWEETENED WITH FRUCTOSE","223.23","34.7","5.6","5.8"
"32322","BERRY PIE, BASIC SWEET DOUGH, WHOLE MILK, SWEETENED WITH FRUCTOSE","226.58","34.7","5.6","6.2"
"32323","BERRY PIE, BASIC SWEET DOUGH, FAT-FREE MILK, ARTIFICIALLY SWEETENED","216.06","31.9","5.9","6.1"
"32324","BERRY PIE, BASIC SWEET DOUGH, LOW-FAT MILK, ARTIFICIALLY SWEETENED","218.21","31.8","5.9","6.4"
"32325","BERRY PIE, BASIC SWEET DOUGH, WHOLE MILK, ARTIFICIALLY SWEETENED","221.56","31.8","5.9","6.8"
"32326","BERRY PIE, SHORTBREAD CRUST WITH SOUR MILK","311.9","47.1","4","11.1"
"32327","BERRY PIE, SHORTBREAD CRUST, SUGAR-FREE","267.45","26.3","4.1","15.2"
"32328","BERRY PIE, SHORTBREAD CRUST, SWEETENED WITH FRUCTOSE","255.26","29.3","4.4","12.4"
"32329","BERRY PIE, SHORTBREAD CRUST, ARTIFICIALLY SWEETENED","228.97","22.7","4.4","12.4"
"32330","BERRY PIE, BASIC SWEET DOUGH, EGG-FREE","232.79","37.9","5.3","5.6"
"32331","BERRY PIE, BASIC SWEET DOUGH, WATER, DAIRY-FREE, EGG-FREE","231.84","36.6","4.7","6.4"
"32332","BERRY PIE WITH QUARK FILLING, SHORTBREAD CRUST","231.84","26","6.4","10.8"
"32333","APPLE PIE, BASIC SWEET DOUGH, WHOLE MILK","245.7","43","6.1","4.7"
"32335","RHUBARB PIE, SHORTBREAD CRUST WITH SOUR MILK","295.89","46.6","3.7","9.8"
"32336","RHUBARB PIE, BASIC SWEET DOUGH, FAT-FREE MILK","244.26","42","5.3","5.2"
"32338","SWEET SHORTBREAD PIE CRUST WITH SOUR MILK","404.4","58.2","5.6","16"
"32341","MARGARINE 60%, FLORA, HIGH IN SALT","530.59","0.3","0.3","60"
"32342","MARGARINE 80%, FOR BAKING AND COOKING","710.8","0.3","0.5","80"
"32343","VEGETABLE FAT SPREAD 38%, BECEL LIGHT","347.99","2.9","0","38"
"32344","VEGATABLE OIL PRODUCT 82%, FLORA CULINESSE, FLUID","717.26","0","0","81.1"
"32348","VEGATABLE OIL PRODUCT 82%, BECEL, FLUID","725.14","0","0","82"
"32350","VEGETABLE FAT SPREAD 38%, BECEL LIGHT OLIVE","347.99","2.9","0","38"
"32354","MARGARINE 80%, KEIJU RYPSI, FLUID","707.46","0","0","80"
"32357","DOUGHNUT ROASTING FAT 100%, SUNNUNTAI","884.32","0","0","100"
"32360","MARGARINE 60%, BENECOL, LACTOSE-FREE","530.59","0","0","60"
"32366","(ARC)BLENDED SPREAD 60%, BUNGE MAKUISA","532.5","0","0.4","60"
"32367","MUKSU SOY DRINK","71.7","7.5","2.5","3.5"
"32372","(ARC)VEGETABLE FAT SPREAD 32%, BENECOL LIGHT OLIVE","295.89","0.6","2.6","32"
"32374","(ARC)MARGARINE 40%, BENECOL","382.65","6.8","0.3","40"
"32379","MACARONI STEW WITH BEEF MINCE","133.37","12.7","7.3","5.7"
"32380","MACARONI STEW WITH CHICKEN MINCE","97.99","11.6","7","2.3"
"32381","BOLOGNESE GRAVY MIX, KNORR","334.13","58","12","4.5"
"32382","BOLOGNESE, BEEF MINCE, POWDERED GRAVY MIX","180.21","6.8","13.2","11.1"
"32383","BOLOGNESE, PORK BEEF MINCE, TOMATO, POWDERED GRAVY MIX","203.87","6.8","12.3","14.2"
"32384","CURRY SAUCE, UNCLE BEN'S","61.9","9.1","0.7","2.3"
"32385","COTTAGE CHEESE, 1.5% FAT","89.39","2.4","16.5","1.5"
"32386","TIKKA MASALA, UNCLE BEN'S","108.99","9","1.3","7.2"
"32397","TUNA SALAD WITH PASTA AND LEGUMES","67.64","5.8","7","1.4"
"32398","MACARONI STEW WITH TUNA","97.51","11.9","8.3","1.6"
"32401","SAITHE WITH ALMOND AND COOKING CREAM 15%","157.03","2.3","17.5","8.4"
"32403","DIPMIX WITH MILK EXTRACTS","308.32","54.6","7.1","3"
"32404","DIPMIX, MILK-FREE","326.72","76.9","1.2","0.1"
